Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
Karences,Table de composition nutritionnelle des aliments Ciqual,http://www.data.gouv.fr/fr/datasets/table-de-composition-nutritionnelle-des-aliments-ciqual/,Agriculture et alimentation,Application,Thibaud Estublier,https://www.data.gouv.fr/fr/reuses/karences/,No,,Yes
Cartographie interactive,Opérations coordonnées par les CROSS,https://www.data.gouv.fr/fr/reuses/cartographie-interactive-1/,Sécurité,Application,Antoine Augusti,https://www.data.gouv.fr/fr/reuses/cartographie-interactive-1/,No,,No
,Films ayant réalisé plus d'un million d'entrées,https://www.data.gouv.fr/fr/datasets/films-ayant-realise-plus-dun-million-dentrees/#/community-reuses,,,,,Yes,,No
Spatul,"Open Food Facts - Produits alimentaires : ingrédients nutrition labels, Table de composition nutritionnelle des aliments Ciqual",http://www.data.gouv.fr/fr/datasets/table-de-composition-nutritionnelle-des-aliments-ciqual/,Agriculture et alimentation,Application,Thomas B,https://www.data.gouv.fr/fr/reuses/spatul/,No,,No
L’Open Data pour lutter contre l’artificialisation des sols,CORINE Land Cover - Occupation des sols en France,https://www.data.gouv.fr/fr/datasets/corine-land-cover-occupation-des-sols-en-france/#/community-reuses,Aménagement du territoire,Visualisation,Spallian,https://www.data.gouv.fr/fr/reuses/lopen-data-pour-lutter-contre-lartificialisation-des-sols/,No,,Yes
Application Lyzo,Résultats du contrôle sanitaire de l'eau distribuée commune par commune,https://www.data.gouv.fr/fr/datasets/resultats-du-controle-sanitaire-de-leau-distribuee-commune-par-commune/#/community-reuses,Santé,Application,Lyzo,https://www.data.gouv.fr/fr/reuses/application-lyzo-qualite-de-leau/,No,,Yes
Visualisation des données sur les prix des carburants,"Base Adresse Nationale, Prix des carburants en France - Flux instantané",https://www.data.gouv.fr/fr/datasets/prix-des-carburants-en-france-flux-instantane-v2-amelioree/#/community-reuses,Economie et entreprise,Visualisation,data.gouv.fr,https://www.data.gouv.fr/fr/reuses/visualisation-des-donnees-sur-les-prix-des-carburants/,No,,No
Votre eau du robinet est-elle radioactive ? Découvrez-le grâce à notre moteur de recherche,Résultats du contrôle sanitaire de l'eau distribuée commune par commune,https://www.data.gouv.fr/fr/datasets/resultats-du-controle-sanitaire-de-leau-distribuee-commune-par-commune/#/community-reuses,Santé,Article de presse,Mediapart,https://www.data.gouv.fr/fr/reuses/votre-eau-du-robinet-est-elle-radioactive-decouvrez-le-grace-a-notre-moteur-de-recherche/,No,,No
Nucléaire : il y a des atomes radioactifs dans votre verre d’eau,Résultats du contrôle sanitaire de l'eau distribuée commune par commune,https://www.data.gouv.fr/fr/datasets/resultats-du-controle-sanitaire-de-leau-distribuee-commune-par-commune/#/community-reuses,Santé,Article de presse,Médiapart,https://www.data.gouv.fr/fr/reuses/nucleaire-il-y-a-des-atomes-radioactifs-dans-votre-verre-deau/,No,,No
Moteur de recherche des professionnels RGE - Annuaire des Entreprises,Liste des entreprises RGE,http://www.data.gouv.fr/fr/datasets/liste-des-entreprises-rge-1/,Economie et entreprise,Application,Annuaire des entreprises,https://www.data.gouv.fr/fr/reuses/moteur-de-recherche-des-professionnels-rge-annuaire-des-entreprises/,No,,Yes
Annuaire des collectivités,"FINESS Extraction du Fichier des établissements, Répertoire national des élus, Service-public.fr - Annuaire de l’administration - Base de données locales",http://www.data.gouv.fr/fr/datasets/repertoire-national-des-elus-1/,Politique et vie publique,Application,Incubateur des territoires,https://www.data.gouv.fr/fr/reuses/annuaire-des-collectivites/,No,,Yes
Osmose-QA,Code Officiel Géographique (COG),http://www.data.gouv.fr/fr/datasets/code-officiel-geographique-cog/,Aménagement du territoire,Application,,https://www.data.gouv.fr/fr/reuses/osmose-qa/,No,,Yes
CARTElette - Création de couches cartographiques à partir du code officiel géographique (COG) et des couches IGN,Code Officiel Géographique (COG),http://www.data.gouv.fr/fr/datasets/code-officiel-geographique-cog/,Autres,,Kim Antunez,https://www.data.gouv.fr/fr/reuses/cartelette-creation-de-couches-cartographiques-a-partir-du-code-officiel-geographique-cog-et-des-couches-ign/,No,,No
Aux Alentours par MAIF,"Base officielle des codes postaux, Code Officiel Géographique (COG)",http://www.data.gouv.fr/fr/datasets/code-officiel-geographique-cog/,Aménagement du territoire,Application,MAIF,https://www.data.gouv.fr/fr/reuses/aux-alentours-par-maif/,No,,No
,Pluviométrie,http://www.data.gouv.fr/fr/datasets/pluviometrie/,,,,,Yes,,No
,Interventions réalisées par les services d'incendie et de secours,http://www.data.gouv.fr/fr/datasets/interventions-realisees-par-les-services-d-incendie-et-de-secours/,,,,,Yes,,Yes
,Liste des automates en bureaux de poste,http://www.data.gouv.fr/fr/datasets/liste-des-automates-en-bureaux-de-poste-1/,,,,,Yes,Archivé,No
Carte interactive des communes de montagne au titre du droit de l'urbanisme,Communes de la loi Montagne au Code Officiel Géographique (COG 2020->2022),https://www.data.gouv.fr/fr/datasets/communes-de-la-loi-montagne-au-code-officiel-geographique-cog-2020-2022/#/community-reuses,Politique et vie publique,Visualisation,Observatoire des territoires,https://www.data.gouv.fr/fr/reuses/carte-interactive-des-communes-de-montagne-au-titre-du-droit-de-lurbanisme/,No,,Yes
,Jours fériés en France,http://www.data.gouv.fr/fr/datasets/jours-feries-en-france/,,,,,Yes,,Yes
,Données de laboratoires pour le dépistage (A COMPTER DU 18/05/2022) - SI-DEP,http://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-a-compter-du-18-05-2022-si-dep/,,,,,Yes,,No
,Playlist Radio NRJ 09-2012/10-2012 & 07-2012/08-2012,http://www.data.gouv.fr/fr/datasets/playlist-radio-nrj-09-2012-10-2012-07-2012-08-2012/,,,,,Yes,,No
Cartographie nationale des Défibrillateurs déclarés à la base Géo'DAE,Géo'DAE - Base Nationale des Défibrillateurs,http://www.data.gouv.fr/fr/datasets/geodae-base-nationale-des-defibrillateurs/,Santé,Visualisation,"Association Française de Prévention, Alerte et Information des Citoyens (AFPAIC)",https://www.data.gouv.fr/fr/reuses/cartographie-nationale-des-defibrillateurs-declares-a-la-base-geodae/,No,,Yes
,Annuaire des diagnostiqueurs immobiliers,http://www.data.gouv.fr/fr/datasets/annuaire-des-diagnostiqueurs-immobiliers/,,,,,Yes,,Yes
insitu.app,"BODACC, Base Sirene des entreprises et de leurs établissements (SIREN SIRET), FINESS Extraction du Fichier des établissements, Répertoire National des Associations, Service-public.fr - Annuaire de l’administration - Base de données locales",http://www.data.gouv.fr/fr/datasets/repertoire-national-des-associations/,Politique et vie publique,Application,insitu.app,https://www.data.gouv.fr/fr/reuses/application-mobile-dinformation-territoriale-alimentee-par-lopendata/,No,,No
Pappers,Répertoire National des Associations,http://www.data.gouv.fr/fr/datasets/repertoire-national-des-associations/,Politique et vie publique,Application,Pappers,https://www.data.gouv.fr/fr/reuses/siren-comment-trouver-le-numero-dune-entreprise/,No,,No
Journal Officiel,Répertoire National des Associations,https://www.data.gouv.fr/fr/datasets/repertoire-national-des-associations/#/community-reuses,Politique et vie publique,Visualisation,Journal Officiel,https://www.journal-officiel.gouv.fr/pages/associations-recherche/?reinitrefine=1&sort=cronosort&disjunctive.source,No,,Yes
